name,mfr,type,calories,protein,fat,sodium,fiber,carbo,sugars,potass,vitamins,shelf,weight,cups,rating
All-Bran,K,C,70,4,,260,9,7,5,,25,3,1,0.33,
All-Bran_with_Extra_Fiber,K,C,50,4,0,,14,8,0,330,25,3,1,0.5,
Almond_Delight,R,C,110,2,2,200,1,14,8,,25,3,1,0.75,
Apple_Cinnamon_Cheerios,G,C,,2,2,180,1.5,10.5,10,70,25,1,1,0.75,
Apple_Jacks,K,C,110,2,0,,1,11,,30,25,2,1,1,
Basic_4,G,C,130,,,210,2,,8,100,25,3,1.33,0.75,
Bran_Chex,R,C,90,2,1,200,,15,6,125,25,1,1,0.67,
Bran_Flakes,P,C,90,3,0,210,5,13,5,,25,3,1,0.67,
Cap'n'Crunch,Q,C,120,,2,,0,12,12,35,25,2,1,0.75,
Cheerios,G,C,,6,2,290,2,,1,105,25,1,1,1.25,
Cinnamon_Toast_Crunch,G,C,120,1,3,210,0,,9,45,25,2,1,0.75,
Clusters,G,C,110,3,,140,,13,7,,25,3,1,0.5,
Cocoa_Puffs,G,C,110,,1,180,0,12,,55,25,2,1,1,
Corn_Chex,R,C,,2,0,,0,22,3,25,25,1,1,1,
Corn_Flakes,K,C,100,2,0,290,1,21,2,35,25,1,1,1,45.863324
Corn_Pops,K,C,110,1,0,90,1,13,12,20,25,2,1,1,35.782791
Count_Chocula,G,C,,,1,180,,12,13,65,25,2,1,1,
Cracklin'_Oat_Bran,K,C,110,3,,140,4,10,7,160,25,3,1,0.5,
Cream_of_Wheat_(Quick),N,H,,3,0,80,1,,0,-1,0,2,1,1,
Crispix,K,C,110,,0,,1,,3,30,25,3,1,1,
Crispy_Wheat_&_Raisins,G,C,100,2,1,140,2,11,10,120,25,3,1,0.75,36.176196
Double_Chex,R,C,100,2,0,190,,,5,80,25,3,1,0.75,
Froot_Loops,K,C,110,,1,125,1,11,13,30,25,2,1,1,
Frosted_Flakes,K,C,110,1,0,,1,14,11,25,25,1,1,0.75,
Frosted_Mini-Wheats,K,C,100,3,0,0,3,14,7,100,25,2,1,0.8,58.345141
Fruitful_Bran,K,C,120,3,,240,5,14,12,,25,3,1.33,0.67,
Fruity_Pebbles,P,C,,1,1,135,0,13,12,25,25,2,1,0.75,
Golden_Crisp,P,C,100,2,0,45,0,11,,40,25,1,1,0.88,35.252444
Golden_Grahams,G,C,,1,1,,0,15,9,45,25,2,1,0.75,
Grape_Nuts_Flakes,P,C,100,3,1,140,3,15,5,85,25,3,1,0.88,52.076897
Grape-Nuts,P,C,110,3,0,170,3,17,3,90,25,3,1,0.25,53.371007
Great_Grains_Pecan,P,C,120,,,75,3,13,4,,25,3,1,0.33,
Honey_Graham_Ohs,Q,C,,1,2,,1,12,,45,25,2,1,1,
Honey_Nut_Cheerios,G,C,110,3,1,250,,,10,90,25,1,1,0.75,
Honey-comb,P,C,110,1,0,180,0,14,11,35,25,1,1,1.33,28.742414
Just_Right_Crunchy__Nuggets,K,C,110,2,1,170,1,17,6,60,,3,1,1,
Just_Right_Fruit_&_Nut,K,C,140,3,,170,2,20,9,95,,3,1.3,0.75,
Kix,G,C,110,2,1,,0,21,3,40,25,2,1,1.5,
Life,Q,C,100,,2,150,2,12,,95,25,2,1,0.67,
Lucky_Charms,G,C,110,2,1,180,0,12,12,55,25,2,1,1,26.734515
Maypo,A,H,100,4,1,0,0,16,3,95,25,2,1,1,54.850917
Mueslix_Crispy_Blend,K,C,,3,2,150,,17,13,,25,3,1.5,0.67,
Multi-Grain_Cheerios,G,C,100,2,,220,2,15,6,90,25,1,1,1,
Nut&Honey_Crunch,K,C,120,2,1,,0,15,9,40,25,2,1,0.67,
Nutri-Grain_Almond-Raisin,K,C,140,,2,220,3,21,7,130,25,3,1.33,0.67,
Nutri-grain_Wheat,K,C,,3,0,170,3,18,2,90,25,3,1,1,
Oatmeal_Raisin_Crisp,G,C,130,3,2,170,1.5,,10,120,25,3,1.25,0.5,
Post_Nat._Raisin_Bran,P,C,120,3,1,200,,11,,,25,3,1.33,0.67,
Product_19,K,C,100,3,,,1,20,3,45,,3,1,1,
Puffed_Rice,Q,C,50,1,0,0,0,13,0,15,0,3,0.5,1,60.756112
Puffed_Wheat,Q,C,50,2,0,0,1,10,0,50,0,3,0.5,1,63.005645
Quaker_Oat_Squares,Q,C,100,,1,135,2,14,6,110,25,3,1,0.5,
Quaker_Oatmeal,Q,H,100,5,2,0,,-1,-1,110,0,1,1,0.67,
Raisin_Bran,K,C,,3,1,210,5,14,,,25,2,1.33,0.75,
Raisin_Nut_Bran,G,C,100,3,2,140,,10.5,8,140,25,3,1,0.5,
Raisin_Squares,K,C,90,2,0,0,2,15,6,110,25,3,1,0.5,55.333142
Rice_Chex,R,C,110,1,0,240,0,23,2,30,25,1,1,1.13,41.998933
Rice_Krispies,K,C,110,2,,,0,22,3,35,25,1,1,1,
Shredded_Wheat,N,C,80,2,0,0,3,16,0,95,0,1,0.83,1,68.235885
Shredded_Wheat_'n'Bran,N,C,90,3,0,0,,,0,140,0,1,1,0.67,
Shredded_Wheat_spoon_size,N,C,90,,0,0,3,,0,120,0,1,1,0.67,72.801787
Smacks,K,C,110,2,1,70,1,9,,40,25,2,1,0.75,
Special_K,K,C,,6,0,230,1,16,3,55,25,1,1,1,
Strawberry_Fruit_Wheats,N,C,90,2,0,15,,15,5,90,25,2,1,1,
Total_Corn_Flakes,G,C,110,2,1,,0,21,3,35,100,3,1,1,
Total_Raisin_Bran,G,C,140,3,1,190,4,15,,,100,3,1.5,1,
Total_Whole_Grain,G,C,100,3,,200,3,16,3,110,,3,1,1,
Triples,G,C,110,2,1,250,0,,3,60,25,3,1,0.75,
Trix,G,C,,1,1,140,0,,,25,25,2,1,1,
Wheat_Chex,R,C,100,3,1,230,3,17,3,115,25,1,1,0.67,49.787445
Wheaties,G,C,100,3,1,,3,17,3,110,25,1,1,1,
Wheaties_Honey_Gold,G,C,110,,1,200,1,16,8,60,25,1,1,0.75,36.187559
